# {"t_start": 1555818272.1331377, "env_id": null} 
r,l,t
5800.0,4705,89.185243
5620.0,4639,171.480284
13270.0,5174,263.388852
7000.0,1197,284.171401
4820.0,2550,333.326782
15210.0,1546,364.877499
16530.0,2452,411.643726
