approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
5.1755e-07,0.0,nan,nan,-12.432896614074707,95,1,6.148468,-0.00045695738,128,5.386262569684137,512,2.3580121e-08
1.3868945e-06,0.0,nan,nan,-3.4141430854797363,226,2,6.148465,-0.0007207923,256,7.652547320958391,1024,6.856707e-08
1.3204845e-05,0.0,nan,nan,-1.634749174118042,227,3,6.148438,-0.0014723011,384,9.908753905873512,1536,3.7629114e-08
0.0007663583,0.03857422,nan,nan,-11.360674858093262,224,4,6.1475053,-0.013228126,512,12.18786004925207,2048,6.219574e-08
0.0032583373,0.2626953,nan,nan,0.38949936628341675,227,5,6.1346045,-0.020175325,640,14.439734170124973,2560,2.43614e-05
0.0022861715,0.15332031,nan,nan,0.6524230241775513,222,6,6.1345124,-0.020089127,768,16.745910094718745,3072,2.059977e-06
0.003400336,0.23632812,nan,nan,0.14400649070739746,225,7,6.118481,-0.024757395,896,19.019895475542285,3584,2.6759367e-06
0.004230314,0.24511719,nan,nan,-0.36869382858276367,212,8,6.109856,-0.02336043,1024,21.430904486464062,4096,2.5257727e-06
0.0030665128,0.18896484,nan,nan,-9.279984474182129,218,9,6.108667,-0.024749229,1152,23.77726799076419,4608,4.5497913e-07
0.0024280816,0.13769531,nan,nan,0.2018541693687439,223,10,6.1040897,-0.018173313,1280,26.07048528514099,5120,2.358191e-06
0.0018913458,0.10888672,nan,nan,0.0013121366500854492,227,11,6.093658,-0.014918068,1408,28.320144739066,5632,0.03315222
0.0028004504,0.17480469,nan,nan,-0.12308144569396973,226,12,6.0833764,-0.023416867,1536,30.585613604522365,6144,0.00038471218
0.002956369,0.1743164,nan,nan,-0.14371883869171143,226,13,6.06501,-0.02332062,1664,32.84811910452306,6656,5.7437843e-05
0.003382512,0.21826172,nan,nan,0.24323344230651855,227,14,6.053846,-0.024595663,1792,35.10073996834793,7168,9.768911e-06
0.0028632747,0.18164062,nan,nan,-0.18145668506622314,226,15,6.0448294,-0.023162834,1920,37.35872673761609,7680,1.47224755e-05
0.0017493768,0.10205078,nan,nan,-0.000659942626953125,227,16,6.040009,-0.01400428,2048,39.61325824930263,8192,0.008234155
0.0030693966,0.18847656,nan,nan,0.24146926403045654,226,17,6.03062,-0.022937577,2176,41.87195670120085,8704,3.8075385e-05
0.0036676887,0.21777344,nan,nan,-0.2057403326034546,227,18,6.0013285,-0.02339843,2304,44.12350256806381,9216,4.261673e-06
0.0022799086,0.12109375,nan,nan,-0.0011447668075561523,227,19,5.997061,-0.015976071,2432,46.37667601608584,9728,0.008258526
0.0030862167,0.18017578,nan,nan,0.04158073663711548,226,20,5.994164,-0.022070417,2560,48.63703710946503,10240,7.996979e-05
0.002457963,0.14111328,nan,nan,0.0013834238052368164,227,21,5.9925623,-0.015303973,2688,50.88854142076716,10752,0.2199022
0.0027060288,0.1616211,nan,nan,0.004392027854919434,224,22,5.9666677,-0.018529665,2816,53.1686773738003,11264,0.054704655
0.0027316315,0.17041016,nan,nan,0.003692626953125,226,23,5.9002833,-0.021057546,2944,55.430415457830534,11776,0.14274591
0.002348665,0.14257812,nan,nan,0.00589984655380249,228,24,5.8931746,-0.019405376,3072,57.66948278342638,12288,0.045930102
0.0023001004,0.13574219,nan,nan,0.005082547664642334,227,25,5.8765855,-0.018354295,3200,59.920462167677734,12800,0.042166457
0.002705494,0.15234375,nan,nan,0.0013424158096313477,224,26,5.860378,-0.017183417,3328,62.1983482537585,13312,0.2054806
0.0032548483,0.17138672,nan,nan,-0.003847360610961914,228,27,5.7913647,-0.014666567,3456,64.43817496357778,13824,0.008104405
0.0028182357,0.13574219,nan,nan,0.024807333946228027,228,28,5.828585,-0.019416783,3584,66.67996721650378,14336,0.014741213
0.0035802205,0.21533203,nan,nan,-0.10050594806671143,227,29,5.7887483,-0.02195678,3712,68.92731254950002,14848,0.0002202981
0.002356255,0.12646484,nan,nan,0.050306499004364014,229,30,5.7695794,-0.013855626,3840,71.15639550557404,15360,0.007963663
0.003324226,0.19482422,nan,nan,0.3882989287376404,228,31,5.7408104,-0.022424892,3968,73.40080324454645,15872,0.00026050647
0.0030859997,0.2163086,nan,nan,0.08377242088317871,227,32,5.715741,-0.020739505,4096,75.65190443198787,16384,0.00010938714
0.0025451442,0.1640625,nan,nan,0.29853910207748413,228,33,5.7238107,-0.018979523,4224,77.89629680587896,16896,7.142923e-05
0.0025730152,0.13964844,nan,nan,0.02367466688156128,228,34,5.690664,-0.0136681385,4352,80.14192816405438,17408,0.007645058
0.0024338474,0.1508789,nan,nan,0.435380220413208,226,35,5.6808305,-0.018486252,4480,82.39954526343432,17920,6.9166e-05
0.0028050884,0.17285156,nan,nan,0.41245490312576294,227,36,5.702321,-0.0151863545,4608,84.65084172709102,18432,4.3693228e-05
0.0027364073,0.15527344,4705.0,5800.0,-0.0020143985748291016,224,37,5.6506352,-0.015508335,4736,86.9315555468642,18944,0.00011466511
0.0032687802,0.18164062,4705.0,5800.0,0.5739551782608032,226,38,5.692362,-0.021867113,4864,89.19157574496201,19456,9.622787e-06
0.0027350595,0.17089844,4705.0,5800.0,0.5035254955291748,228,39,5.6446867,-0.018415725,4992,91.4348091028329,19968,4.976495e-06
