# {"t_start": 1555818272.1331377, "env_id": null} 
r,l,t
5620.0,9458,173.601869
23420.0,3562,236.572015
3600.0,1513,263.524134
7400.0,1313,286.497657
29570.0,2853,344.316594
22850.0,2223,387.132179
1200.0,2648,437.577485
