# {"t_start": 1555818272.1341355, "env_id": null} 
r,l,t
3200.0,7252,134.458873
14620.0,3305,193.510825
22440.0,3163,249.533154
4600.0,1111,268.457693
4410.0,1552,295.823147
18910.0,2279,342.550437
600.0,974,362.089987
14420.0,2388,408.287629
7040.0,2464,454.535191
